smiles,fgs
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)C[NH2+]2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Alkylarylether': [(33, 34, 32)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 42), (20, 21, 22, 24, 25, 27), (34, 35, 36, 37, 38, 39)], 'pyrrolidine': [(31, 32, 40, 41, 30)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CCN(Cc3ccccc3)C2=O)c1,"{'Secondary hydroxyl': [(29, 28)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Lactam': [(30, 42, 43, 34)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 44), (20, 21, 22, 24, 25, 27), (36, 37, 38, 39, 40, 41)], 'piperazine': [(30, 42, 34, 33, 32, 31)]}"
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCCS2(=O)=O)c1,"{'Secondary hydroxyl': [(18, 17)], 'Secondary mixed amine': [(2,)], 'Ammonium': [(20,)], 'Secondary amide': [(6, 7, 8, 9)], 'Sulfonamide': [(39, 40, 41, 34)], 'Trifluoromethyl': [(28, 27, 29, 30)], 'Benzene': [(3, 4, 5, 32, 33, 42), (11, 12, 13, 14, 15, 16), (22, 23, 24, 25, 26, 31)]}"
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+][C@@H](C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,"{'Secondary hydroxyl': [(18, 17)], 'Secondary mixed amine': [(2,)], 'Ammonium': [(20,)], 'Secondary amide': [(6, 7, 8, 9), (23, 24, 25, 26)], 'Sulfonamide': [(41, 43, 44, 34)], 'Benzene': [(3, 4, 5, 32, 33, 45), (11, 12, 13, 14, 15, 16), (35, 36, 37, 38, 39, 40)]}"
COC[C@@H](Oc1cc(C[C@@H]2CS(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,"{'Secondary hydroxyl': [(28, 27)], 'Dialkylether': [(1, 0, 2)], 'Alkylarylether': [(4, 5, 3)], 'Primary aromatic amine': [(33, 32)], 'Ammonium': [(15,)], 'Arylfluoride': [(31, 30)], 'Trifluoromethyl': [(35, 34, 36, 37)], 'Benzene': [(5, 6, 7, 29, 30, 32), (17, 18, 19, 20, 21, 26)], 'thiane': [(27, 14, 13, 11, 10, 9)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Alkylarylether': [(38, 37, 39)], 'Ammonium': [(31,)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 41), (20, 21, 22, 24, 25, 27), (33, 34, 35, 36, 37, 40)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)C[NH2+]2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Dialkylether': [(33, 32, 34)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 43), (20, 21, 22, 24, 25, 27), (35, 36, 37, 38, 39, 40)], 'pyrrolidine': [(31, 32, 41, 42, 30)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(I)c2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Ammonium': [(31,)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Aryliodide': [(38, 37)], 'Benzene': [(9, 10, 11, 13, 14, 40), (20, 21, 22, 24, 25, 27), (33, 34, 35, 36, 37, 39)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)c1,"{'Secondary hydroxyl': [(29, 28)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Lactam': [(30, 41, 42, 33)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 43), (20, 21, 22, 24, 25, 27), (35, 36, 37, 38, 39, 40)], 'imidazolidine': [(30, 41, 33, 32, 31)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3ccccc3)CC[NH2+]2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Sulfonamide': [(33, 34, 35, 32)], 'Benzene': [(9, 10, 11, 13, 14, 45), (20, 21, 22, 24, 25, 27), (36, 37, 38, 39, 40, 41)], 'piperazine': [(30, 31, 32, 42, 43, 44)]}"
CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,"{'Secondary hydroxyl': [(14, 13)], 'Alkylarylether': [(23, 24, 19)], 'Ammonium': [(16,)], 'Secondary amide': [(1, 2, 3, 4)], 'Arylfluoride': [(10, 9)], 'Benzene': [(6, 7, 8, 9, 11, 12)], 'pyridine': [(33, 27, 26, 25, 24, 34)]}"
CC[C@H](C)[C@@]1(NC(C)=O)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)C1=O,"{'Secondary hydroxyl': [(33, 32)], 'Alkylarylether': [(42, 41, 43)], 'Ammonium': [(35,)], 'Secondary amide': [(6, 8, 5, 4), (21, 22, 23, 24)], 'Lactam': [(4, 45, 46, 11)], 'Benzene': [(15, 16, 17, 18, 19, 20), (26, 27, 28, 29, 30, 31), (37, 38, 39, 40, 41, 44)], 'pyrrolidine': [(4, 9, 10, 11, 45)]}"
CO[C@H](C)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,"{'Secondary hydroxyl': [(21, 20)], 'Dialkylether': [(1, 0, 2)], 'Alkylarylether': [(30, 31, 26)], 'Ammonium': [(23,)], 'Secondary amide': [(4, 5, 6, 7)], 'Benzene': [(9, 10, 11, 12, 13, 19)], 'thiazole': [(16, 17, 18, 14, 15)], 'pyridine': [(40, 34, 33, 32, 31, 41)]}"
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,"{'Secondary hydroxyl': [(11, 10)], 'Dialkylether': [(14, 13, 15)], 'Secondary amide': [(5, 6, 4, 3), (25, 26, 24, 12), (30, 31, 32, 33), (50, 51, 52, 53)], 'Arylfluoride': [(19, 18), (22, 21)], 'Sulfonamide': [(45, 47, 48, 43)], 'Benzene': [(16, 17, 18, 20, 21, 23), (27, 28, 29, 41, 42, 49), (35, 36, 37, 38, 39, 40), (54, 55, 56, 57, 58, 59)]}"
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC)CC[NH2+]2)c1,"{'Secondary hydroxyl': [(29, 28)], 'Dialkylether': [(33, 32, 34)], 'Secondary amide': [(15, 16, 17, 18)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(23, 22), (26, 25)], 'Benzene': [(9, 10, 11, 13, 14, 39), (20, 21, 22, 24, 25, 27)], 'piperidine': [(32, 31, 30, 38, 37, 36)]}"
CC(C)CNC(=O)[C@H](C)[NH2+]C[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,"{'Ammonium': [(9,)], 'Secondary amide': [(5, 6, 4, 3), (20, 21, 19, 11), (25, 26, 27, 28)], 'Arylfluoride': [(34, 33)], 'Sulfonamide': [(41, 43, 44, 39)], 'Benzene': [(13, 14, 15, 16, 17, 18), (22, 23, 24, 37, 38, 45), (30, 31, 32, 33, 35, 36)]}"
CCC[C@H]1SC=C(c2cn[nH]c2)[C@H]1C[C@H](NC1=[NH+]C(C)(C)Cc2cc(Cl)ccc21)C(=O)[O-],"{'Imine': [(17, 16)], 'Thioenolether': [(4, 3, 5, 6)], 'Carboxylic acid': [(29, 30, 31)], 'Arylchloride': [(25, 24)], 'Benzene': [(22, 23, 24, 26, 27, 28)], 'pyrazole': [(7, 8, 9, 10, 11)]}"
CC(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,"{'Alkylarylether': [(4, 5, 3)], 'Diarylether': [(8, 29, 28)], 'Isourea': [(16, 14, 13, 15)], 'Benzene': [(5, 6, 7, 8, 9, 10), (17, 18, 19, 26, 27, 28)], 'pyrimidine': [(20, 21, 22, 23, 24, 25)]}"
CC(=O)N[C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3C[NH2+]2)C1=O,"{'Secondary hydroxyl': [(35, 34)], 'Ammonium': [(45,)], 'Secondary amide': [(1, 2, 3, 4), (21, 22, 23, 24)], 'Lactam': [(4, 46, 47, 11)], 'Arylfluoride': [(29, 28), (32, 31)], 'Benzene': [(15, 16, 17, 18, 19, 20), (26, 27, 28, 30, 31, 33), (38, 39, 40, 41, 42, 43)], 'pyrrolidine': [(4, 9, 10, 11, 46)]}"
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+][C@H]1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,"{'Secondary hydroxyl': [(13, 12)], 'Alkylarylether': [(21, 22, 18)], 'Ammonium': [(15,)], 'Secondary amide': [(1, 2, 3, 4)], 'Benzene': [(6, 7, 8, 9, 10, 11)], 'thiophene': [(30, 31, 22, 23, 24)]}"
CCCC[NH2+]C(=O)[C@@H](NC(=O)[C@@H]1CC(=O)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,"{'Secondary hydroxyl': [(18, 17)], 'Dialkylthioether': [(30, 29, 31)], 'Ketone': [(12, 13, 14, 15)], 'Carbonyl': [(5, 6)], 'Secondary amide': [(9, 10, 8, 7), (25, 26, 24, 19), (33, 34, 32, 27), (41, 43, 40, 35)]}"
CCCC[C@H]([NH3+])[C@H](Cc1ccsc1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(N(C)S(C)(=O)=O)c1,"{'Secondary mixed amine': [(19,)], 'Ammonium': [(5,)], 'Secondary amide': [(14, 15, 13, 6)], 'Sulfonamide': [(29, 31, 32, 27)], 'thiophene': [(8, 9, 10, 11, 12)], 'pyridine': [(16, 17, 18, 25, 26, 33)]}"
CCCN(CCC)C(=O)c1cc(C(N)=O)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c1,"{'Secondary hydroxyl': [(31, 30)], 'Alkylarylether': [(40, 39, 41)], 'Ammonium': [(33,)], 'Primary amide': [(12, 14, 13)], 'Secondary amide': [(17, 18, 19, 20)], 'Tertiary amide': [(7, 8, 3, 2, 4)], 'Arylfluoride': [(25, 24), (28, 27)], 'Benzene': [(9, 10, 11, 15, 16, 43), (22, 23, 24, 26, 27, 29), (35, 36, 37, 38, 39, 42)]}"
CCC[C@H](Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,"{'Primary aromatic amine': [(22, 21)], 'Secondary amide': [(23, 24, 25, 26)], 'Benzene': [(10, 11, 12, 13, 14, 15)], 'quinoline': [(9, 17, 18, 19, 20, 21, 5, 6, 7, 8)]}"
C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)([NH3+])Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,"{'Ammonium': [(14,)], 'Secondary amide': [(3, 4, 2, 1)], 'Arylfluoride': [(36, 35)], 'Hetero N nonbasic': [(9,), (10,)], 'Hetero O': [(22,)], 'Sulfonamide': [(27, 29, 30, 25)], 'Benzene': [(5, 6, 7, 23, 24, 31), (16, 17, 18, 19, 20, 21), (32, 33, 34, 35, 37, 38)]}"
COc1c(C)cc([C@@]2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=[NH+]2)cc1C,"{'Alkylarylether': [(1, 2, 0)], 'Imine': [(20, 21), (25, 23)], 'Benzene': [(2, 3, 5, 6, 26, 27), (8, 9, 10, 11, 12, 19)], 'pyrimidine': [(13, 14, 15, 16, 17, 18)]}"
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+][C@@]1(c2cccc(C(C)(C)C)c2)CCc2n[nH]cc2C1,"{'Secondary hydroxyl': [(15, 14)], 'Ammonium': [(17,)], 'Secondary amide': [(1, 2, 3, 4)], 'Arylfluoride': [(9, 8), (12, 11)], 'Benzene': [(6, 7, 8, 10, 11, 13), (19, 20, 21, 22, 23, 28)], 'pyrazole': [(35, 34, 33, 32, 31)]}"
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1,"{'Secondary amide': [(6, 7, 5, 4)], 'Nitrile': [(13, 12)], 'Isourea': [(29, 27, 26, 28)], 'Arylfluoride': [(19, 18)], 'Trifluoromethyl': [(23, 22, 24, 25)], 'Benzene': [(2, 3, 4, 16, 17, 18)], 'pyridine': [(10, 9, 8, 15, 14, 11)]}"
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+][C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,"{'Secondary hydroxyl': [(18, 17)], 'Secondary mixed amine': [(2,)], 'Ammonium': [(20,)], 'Secondary amide': [(6, 7, 8, 9), (23, 24, 25, 26)], 'Lactam': [(37, 38, 39, 34)], 'Benzene': [(3, 4, 5, 32, 33, 40), (11, 12, 13, 14, 15, 16)], 'pyrrolidine': [(36, 37, 38, 34, 35)]}"
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@H](C(F)(F)F)[C@@H]1F,"{'Alkylfluoride': [(30, 29)], 'Secondary amide': [(6, 7, 5, 4)], 'Nitrile': [(13, 12)], 'Isourea': [(20, 21, 23, 22)], 'Arylfluoride': [(19, 18)], 'Trifluoromethyl': [(26, 25, 27, 28)], 'Benzene': [(2, 3, 4, 16, 17, 18)], 'pyridine': [(10, 9, 8, 15, 14, 11)]}"
C/C=C\C=C\C[C@H]1CC[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C)cc(C(=O)N(CCC)CCC)c2)C1,"{'Alkene': [(1, 2), (3, 4)], 'Secondary hydroxyl': [(12, 11)], 'Secondary amide': [(24, 25, 23, 13)], 'Tertiary amide': [(32, 33, 34, 35, 38)], 'Arylfluoride': [(18, 17), (21, 20)], 'Benzene': [(15, 16, 17, 19, 20, 22), (26, 27, 28, 30, 31, 41)], 'piperidine': [(6, 7, 8, 9, 10, 42)]}"
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,"{'Alkyne': [(21, 22)], 'Alkylfluoride': [(11, 10), (12, 10), (26, 25)], 'Amide': [(2, 3, 1)], 'Guanidine': [(1, 29, 28, 30)], 'Arylfluoride': [(19, 18)], 'Benzene': [(5, 6, 7, 8, 13, 14), (15, 16, 17, 18, 20, 27)], 'oxy': [(9,)], '2-imidazoline': [(29, 28, 4, 2, 1)]}"
C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,"{'Secondary hydroxyl': [(20, 19)], 'Ammonium': [(22,)], 'Secondary amide': [(3, 4, 2, 1), (8, 9, 10, 11)], 'Sulfonamide': [(30, 32, 33, 28)], 'Benzene': [(5, 6, 7, 26, 27, 34), (13, 14, 15, 16, 17, 18), (35, 36, 37, 38, 39, 40)]}"
C[C@H]([NH2+]C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,"{'Secondary hydroxyl': [(5, 4)], 'Ammonium': [(2,)], 'Secondary amide': [(15, 16, 14, 6), (34, 35, 36, 37)], 'Sulfonamide': [(29, 31, 32, 22)], 'Benzene': [(8, 9, 10, 11, 12, 13), (17, 18, 19, 20, 21, 33), (23, 24, 25, 26, 27, 28)]}"
CO[C@H](C)C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,"{'Secondary hydroxyl': [(19, 18)], 'Dialkylether': [(1, 0, 2)], 'Alkylarylether': [(28, 29, 24)], 'Ammonium': [(21,)], 'Acetal': [(15, 13, 16, 17, 12)], 'Secondary amide': [(4, 5, 6, 7)], 'Benzene': [(9, 10, 11, 12, 13, 14)], 'pyridine': [(38, 32, 31, 30, 29, 39)]}"
COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,"{'Secondary hydroxyl': [(14, 13)], 'Dialkylether': [(1, 0, 2)], 'Alkylarylether': [(36, 34, 37)], 'Secondary mixed amine': [(41,)], 'Ammonium': [(16,)], 'Lactam': [(7, 9, 10, 11)], 'Benzene': [(3, 4, 5, 6, 7, 8), (18, 19, 20, 21, 22, 26), (30, 31, 32, 33, 34, 35)]}"
CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCC(=O)N1)CC1(CCC1)O2,"{'Secondary hydroxyl': [(12, 11)], 'Alkylarylether': [(35, 5, 31)], 'Ammonium': [(9,)], 'Lactam': [(26, 27, 28, 29)], 'Benzene': [(2, 3, 4, 5, 6, 7), (15, 16, 17, 18, 19, 20)]}"
CCCCN(C)C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cc(C#N)ccc21,"{'Secondary hydroxyl': [(25, 24)], 'Alkylarylether': [(34, 33, 35)], 'Ammonium': [(27,)], 'Secondary amide': [(11, 12, 13, 14)], 'Nitrile': [(41, 40)], 'Urea': [(4, 6, 7, 8)], 'Arylfluoride': [(19, 18), (22, 21)], 'Benzene': [(16, 17, 18, 20, 21, 23), (29, 30, 31, 32, 33, 36)], '1H-indole': [(39, 42, 43, 44, 8, 9, 10, 37, 38)]}"
N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,"{'Alkylfluoride': [(17, 16)], 'Secondary amide': [(6, 7, 8, 9)], 'Nitrile': [(0, 1)], 'Isourea': [(27, 25, 24, 26)], 'Arylfluoride': [(13, 12)], 'Trifluoromethyl': [(21, 20, 22, 23)], 'Benzene': [(9, 10, 11, 12, 14, 28)], 'pyridine': [(3, 2, 30, 29, 5, 4)]}"
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)cc2c1CCCS(=O)(=O)N2C,"{'Secondary hydroxyl': [(18, 17)], 'Alkylarylether': [(27, 26, 28)], 'Secondary mixed amine': [(2,)], 'Ammonium': [(20,)], 'Secondary amide': [(6, 7, 8, 9)], 'Sulfonamide': [(36, 37, 38, 39)], 'Benzene': [(3, 4, 5, 30, 31, 32), (11, 12, 13, 14, 15, 16), (22, 23, 24, 25, 26, 29)]}"
CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,"{'Amide': [(2, 3, 1)], 'Guanidine': [(1, 30, 29, 31)], 'Arylfluoride': [(20, 19)], 'Trifluoromethyl': [(11, 10, 12, 13)], 'Benzene': [(5, 6, 7, 8, 14, 15), (16, 17, 18, 19, 21, 28)], 'oxy': [(9,)], '2-imidazoline': [(30, 29, 4, 2, 1)], 'pyrimidine': [(22, 23, 24, 25, 26, 27)]}"
CN1C(=O)[C@@](c2ccncc2)(c2cccc(-c3cc(F)ccc3F)c2)N=C1N,"{'Amide': [(2, 3, 1)], 'Guanidine': [(1, 26, 25, 27)], 'Arylfluoride': [(19, 18), (23, 22)], 'Benzene': [(11, 12, 13, 14, 15, 24), (16, 17, 18, 20, 21, 22)], '2-imidazoline': [(26, 25, 4, 2, 1)], 'pyridine': [(5, 6, 7, 8, 9, 10)]}"
