Functional Group,Count,Percentage
isoquinoline,5,0.038880248833592534
"1H-1,2,3-triazole",5,0.038880248833592534
Acylhydrazone,5,0.038880248833592534
"1,2-benzisoxazole",5,0.038880248833592534
"1,3,5-triazine",5,0.038880248833592534
Thioenolether,5,0.038880248833592534
Sulfuric monoester,5,0.038880248833592534
benzo[d]oxazole,5,0.038880248833592534
"1,8-naphthyridine",5,0.038880248833592534
2-pyrroline,5,0.038880248833592534
Semicarbazone,4,0.031104199066874026
carbazole,4,0.031104199066874026
Hetero S,4,0.031104199066874026
quinolin-2(1H)-one,4,0.031104199066874026
"pyrazolo[1,5-a]pyrimidine",4,0.031104199066874026
Hemiaminal,4,0.031104199066874026
N-Oxide,4,0.031104199066874026
"1,3,4-thiadiazole",4,0.031104199066874026
Alkyliodide,4,0.031104199066874026
Sulfonic ester,4,0.031104199066874026
Phosphoric diester,4,0.031104199066874026
1-oxaspiro[4.4]nonan-2-one,4,0.031104199066874026
Carbothioic S ester,4,0.031104199066874026
guanine,4,0.031104199066874026
phthalazine,4,0.031104199066874026
Sulfuric diamide,3,0.02332814930015552
Halogenmethylen ester and similar,3,0.02332814930015552
Arylthiol,3,0.02332814930015552
Nitrosamide,3,0.02332814930015552
thymine,3,0.02332814930015552
2-pyrazoline,3,0.02332814930015552
Hydroxamic acid ester,3,0.02332814930015552
Sulfenic derivative,3,0.02332814930015552
indene,3,0.02332814930015552
"2,4-thiazolidinedione",3,0.02332814930015552
Thioamide,3,0.02332814930015552
Thiolactam,3,0.02332814930015552
aziridine,3,0.02332814930015552
Phosphoric monoesterdiamide,2,0.015552099533437013
oxazole,2,0.015552099533437013
"1,2-benzisothiazole",2,0.015552099533437013
"1,4,5,6-tetrahydrocyclopenta[b]pyrrole",2,0.015552099533437013
Sulfinic acid,2,0.015552099533437013
tetrahydrothiophene,2,0.015552099533437013
acridine,2,0.015552099533437013
Iminoarene,2,0.015552099533437013
"Thiomorpholine 1,1-dioxide",2,0.015552099533437013
Phosphonic diester,2,0.015552099533437013
Semicarbazide,2,0.015552099533437013
5-azaindole,2,0.015552099533437013
Sulfonium,2,0.015552099533437013
7-azaindazole,2,0.015552099533437013
"1,3-Diazaspiro[4.4]non-1-en-4-one",2,0.015552099533437013
oxetane,2,0.015552099533437013
Biuret,2,0.015552099533437013
Phosphoric diestermonoamide,2,0.015552099533437013
3-pyrroline,2,0.015552099533437013
Ketenacetal,2,0.015552099533437013
"1,1-Diol",2,0.015552099533437013
Fluoroalkene,1,0.0077760497667185065
"1,3,8-triazaspiro[4.5]decan-4-one",1,0.0077760497667185065
Hydroxylamine,1,0.0077760497667185065
Enolester,1,0.0077760497667185065
"1,2,5-oxadiazole",1,0.0077760497667185065
Boronic acid derivative,1,0.0077760497667185065
Endiol,1,0.0077760497667185065
"1,4-dioxane",1,0.0077760497667185065
Bromoalkene,1,0.0077760497667185065
"1,4-dithia-7-azaspiro[4.4]nonane",1,0.0077760497667185065
Phosphonic monoester,1,0.0077760497667185065
Carbothioic S lactone,1,0.0077760497667185065
"1,2,3-oxadiazole",1,0.0077760497667185065
3H-indole,1,0.0077760497667185065
Phosphonic esteramide,1,0.0077760497667185065
Phosphinic ester,1,0.0077760497667185065
isoquinolin-1(2H)-one,1,0.0077760497667185065
1-oxaspiro[4.5]decane,1,0.0077760497667185065
"1,3-oxathiolane",1,0.0077760497667185065
6-azaindole,1,0.0077760497667185065
N hetero imide,1,0.0077760497667185065
"spiro[1H-2-benzofuran-3,2'-oxane]",1,0.0077760497667185065
Phosphonic acid derivative,1,0.0077760497667185065
"pyrido[4,3-d]pyrimidine",1,0.0077760497667185065
"8-azaspiro[4.5]decane-7,9-dione",1,0.0077760497667185065
"1,2,5-thiadiazole",1,0.0077760497667185065
Phosphine oxide,1,0.0077760497667185065
Phosphoric acid,1,0.0077760497667185065
phenazine,1,0.0077760497667185065
Nitrite,1,0.0077760497667185065
thiocane,1,0.0077760497667185065
Hydroperoxide,1,0.0077760497667185065
cinnoline,1,0.0077760497667185065
Carboxylic anhydride,1,0.0077760497667185065
Phosphoric monoamide,1,0.0077760497667185065
Silicic acid derivative,1,0.0077760497667185065
"benzo[c][1,2,5]thiadiazole",1,0.0077760497667185065
Thioacetal,1,0.0077760497667185065
Triazene,1,0.0077760497667185065
